date,electric_production
01-10-1979,52.7558
01-11-1979,54.6456
01-12-1979,60.0874
01-01-1980,65.381
01-02-1980,64.7721
01-03-1980,60.8807
01-04-1980,53.1114
01-05-1980,49.7992
01-06-1980,52.4268
01-07-1980,58.5254
01-08-1980,60.4105
01-09-1980,57.738
01-10-1980,54.7637
01-11-1980,56.4616
01-12-1980,63.4413
01-01-1981,69.2715
01-02-1981,63.6341
01-03-1981,60.1027
01-04-1981,54.1446
01-05-1981,52.2484
01-06-1981,56.4915
01-07-1981,60.622
01-08-1981,60.6506
01-09-1981,56.3729
01-10-1981,54.6841
01-11-1981,55.7249
01-12-1981,63.4345
01-01-1982,70.6727
01-02-1982,64.2728
01-03-1982,59.7759
01-04-1982,54.109
01-05-1982,49.8577
01-06-1982,52.7065
01-07-1982,56.6437
01-08-1982,57.1923
01-09-1982,54
01-10-1982,51.7022
01-11-1982,54.0655
01-12-1982,58.7664
01-01-1983,65.9628
01-02-1983,59.162
01-03-1983,57.314
01-04-1983,52.9718
01-05-1983,49.1707
01-06-1983,51.7103
01-07-1983,57.9314
01-08-1983,61.588
01-09-1983,57.8078
01-10-1983,53.7753
01-11-1983,55.798
01-12-1983,65.6301
01-01-1984,73.2688
01-02-1984,66.2545
01-03-1984,63.2801
01-04-1984,57.4501
01-05-1984,55.1499
01-06-1984,57.9273
01-07-1984,60.6775
01-08-1984,62.3596
01-09-1984,58.0827
01-10-1984,54.7212
01-11-1984,57.1673
01-12-1984,63.3492
01-01-1985,72.6803
01-02-1985,70.8479
01-03-1985,62.6166
01-04-1985,57.6106
01-05-1985,55.4467
01-06-1985,58.2228
01-07-1985,62.7591
01-08-1985,63.3921
01-09-1985,60.7507
01-10-1985,56.4553
01-11-1985,58.1385
01-12-1985,68.8758
01-01-1986,73.4956
01-02-1986,68.1637
01-03-1986,62.3923
01-04-1986,57.1915
01-05-1986,55.9599
01-06-1986,60.0336
01-07-1986,65.9077
01-08-1986,64.645
01-09-1986,61.1742
01-10-1986,57.6978
01-11-1986,59.4964
01-12-1986,68.3302
01-01-1987,74.0173
01-02-1987,70.254
01-03-1987,65.7966
01-04-1987,60.3229
01-05-1987,59.0245
01-06-1987,64.0345
01-07-1987,69.0282
01-08-1987,70.2369
01-09-1987,64.2987
01-10-1987,60.5402
01-11-1987,62.6219
01-12-1987,70.7671
01-01-1988,80.0833
01-02-1988,76.3631
01-03-1988,70.4954
01-04-1988,63.4244
01-05-1988,61.5776
01-06-1988,67.2741
01-07-1988,73.1676
01-08-1988,75.9479
01-09-1988,67.7223
01-10-1988,63.4592
01-11-1988,65.2706
01-12-1988,74.0492
01-01-1989,78.1368
01-02-1989,76.8499
01-03-1989,73.5377
01-04-1989,65.2676
01-05-1989,63.8617
01-06-1989,68.6587
01-07-1989,74.2491
01-08-1989,75.2704
01-09-1989,69.5107
01-10-1989,66.062
01-11-1989,69.2555
01-12-1989,84.404
01-01-1990,84.6447
01-02-1990,77.4221
01-03-1990,73.4205
01-04-1990,67.4636
01-05-1990,66.0145
01-06-1990,71.6535
01-07-1990,76.8376
01-08-1990,77.3265
01-09-1990,73.277
01-10-1990,67.6237
01-11-1990,68.7675
01-12-1990,77.9179
01-01-1991,86.2914
01-02-1991,77.8027
01-03-1991,73.6061
01-04-1991,67.3549
01-05-1991,69.0228
01-06-1991,75.0839
01-07-1991,80.3488
01-08-1991,79.4052
01-09-1991,73.8126
01-10-1991,68.9572
01-11-1991,72.7156
01-12-1991,79.7391
01-01-1992,85.556
01-02-1992,80.4178
01-03-1992,74.739
01-04-1992,69.8367
01-05-1992,67.3781
01-06-1992,71.4197
01-07-1992,77.7263
01-08-1992,76.7791
01-09-1992,72.5681
01-10-1992,69.2363
01-11-1992,73.7175
01-12-1992,84.7818
01-01-1993,88.2287
01-02-1993,84.7919
01-03-1993,79.6885
01-04-1993,71.2731
01-05-1993,67.9111
01-06-1993,74.5503
01-07-1993,82.3366
01-08-1993,82.2906
01-09-1993,74.8323
01-10-1993,69.8758
01-11-1993,74.6278
01-12-1993,84.4669
01-01-1994,94.4017
01-02-1994,87.4053
01-03-1994,79.4751
01-04-1994,71.1817
01-05-1994,69.5934
01-06-1994,78.1988
01-07-1994,83.5287
01-08-1994,82.1321
01-09-1994,75.9181
01-10-1994,71.4802
01-11-1994,75.4754
01-12-1994,85.0772
01-01-1995,92.7412
01-02-1995,87.667
01-03-1995,81.5205
01-04-1995,74.0457
01-05-1995,73.5003
01-06-1995,78.5503
01-07-1995,86.2425
01-08-1995,89.8063
01-09-1995,78.7442
01-10-1995,73.9353
01-11-1995,79.8903
01-12-1995,91.0933
01-01-1996,99.2688
01-02-1996,93.1691
01-03-1996,87.2075
01-04-1996,77.4715
01-05-1996,76.9337
01-06-1996,82.1958
01-07-1996,86.2321
01-08-1996,86.824
01-09-1996,79.4425
01-10-1996,74.911
01-11-1996,81.3
01-12-1996,90.753
01-01-1997,98.7482
01-02-1997,90.0486
01-03-1997,83.2671
01-04-1997,76.3793
01-05-1997,74.0777
01-06-1997,80.0138
01-07-1997,88.7168
01-08-1997,88.0487
01-09-1997,82.1801
01-10-1997,77.7266
01-11-1997,82.2802
01-12-1997,92.3623
01-01-1998,95.0701
01-02-1998,88.0838
01-03-1998,86.8125
01-04-1998,76.9828
01-05-1998,78.2652
01-06-1998,86.7123
01-07-1998,94.1078
01-08-1998,93.7954
01-09-1998,87.7915
01-10-1998,80.3296
01-11-1998,81.6742
01-12-1998,91.9551
01-01-1999,102.4467
01-02-1999,91.4671
01-03-1999,91.0236
01-04-1999,80.7497
01-05-1999,79.6373
01-06-1999,88.1204
01-07-1999,97.7757
01-08-1999,96.7014
01-09-1999,87.4885
01-10-1999,80.8647
01-11-1999,82.4395
01-12-1999,94.7746
01-01-2000,102.4971
01-02-2000,94.5218
01-03-2000,88.3463
01-04-2000,81.6662
01-05-2000,84.7235
01-06-2000,91.3293
01-07-2000,96.3011
01-08-2000,99.6734
01-09-2000,90.9515
01-10-2000,83.378
01-11-2000,88.2458
01-12-2000,102.6901
01-01-2001,109.3416
01-02-2001,97.3953
01-03-2001,93.0564
01-04-2001,83.1332
01-05-2001,82.7827
01-06-2001,90.6648
01-07-2001,96.3283
01-08-2001,99.8132
01-09-2001,88.5136
01-10-2001,82.9006
01-11-2001,83.1461
01-12-2001,93.2796
01-01-2002,103.2604
01-02-2002,95.4593
01-03-2002,93.51
01-04-2002,86.0517
01-05-2002,85.5043
01-06-2002,93.4856
01-07-2002,102.6936
01-08-2002,101.9121
01-09-2002,93.5608
01-10-2002,87.1293
01-11-2002,88.8047
01-12-2002,101.0439
01-01-2003,110.4292
01-02-2003,104.0828
01-03-2003,94.8015
01-04-2003,85.3124
01-05-2003,85.7418
01-06-2003,91.3695
01-07-2003,102.5243
01-08-2003,104.7716
01-09-2003,93.1841
01-10-2003,86.7534
01-11-2003,88.828
01-12-2003,103.8162
01-01-2004,113.996
01-02-2004,106.4378
01-03-2004,95.6626
01-04-2004,86.9849
01-05-2004,89.324
01-06-2004,95.8104
01-07-2004,102.1007
01-08-2004,100.4992
01-09-2004,94.2998
01-10-2004,87.7732
01-11-2004,89.8297
01-12-2004,105.9787
01-01-2005,111.4496
01-02-2005,101.9498
01-03-2005,99.2324
01-04-2005,86.6793
01-05-2005,87.3784
01-06-2005,99.7382
01-07-2005,108.8005
01-08-2005,109.9901
01-09-2005,99.5563
01-10-2005,90.1695
01-11-2005,90.6297
01-12-2005,108.4977
01-01-2006,104.8128
01-02-2006,101.631
01-03-2006,98.6932
01-04-2006,87.7035
01-05-2006,90.2388
01-06-2006,100.7836
01-07-2006,111.3696
01-08-2006,111.9898
01-09-2006,96.1212
01-10-2006,90.6869
01-11-2006,92.5922
01-12-2006,103.3658
01-01-2007,112.3854
01-02-2007,112.1298
01-03-2007,99.4689
01-04-2007,91.045
01-05-2007,92.3001
01-06-2007,101.2636
01-07-2007,107.9356
01-08-2007,114.5031
01-09-2007,101.8592
01-10-2007,93.282
01-11-2007,94.1475
01-12-2007,107.0407
01-01-2008,115.1667
01-02-2008,108.5191
01-03-2008,100.7094
01-04-2008,91.2095
01-05-2008,91.4432
01-06-2008,104.1756
01-07-2008,111.08
01-08-2008,107.8943
01-09-2008,98.0097
01-10-2008,91.2396
01-11-2008,94.032
01-12-2008,109.6582
01-01-2009,117.1039
01-02-2009,104.6583
01-03-2009,98.0042
01-04-2009,88.3216
01-05-2009,87.7292
01-06-2009,97.5534
01-07-2009,104.1672
01-08-2009,106.0048
01-09-2009,95.0943
01-10-2009,89.3813
01-11-2009,89.4578
01-12-2009,110.8781
01-01-2010,119.2479
01-02-2010,110.7531
01-03-2010,98.3435
01-04-2010,86.2616
01-05-2010,90.8463
01-06-2010,104.4778
01-07-2010,113.1387
01-08-2010,113.255
01-09-2010,100.3369
01-10-2010,89.0647
01-11-2010,92.8335
01-12-2010,114.5353
01-01-2011,119.7459
01-02-2011,107.4949
01-03-2011,99.1833
01-04-2011,89.3555
01-05-2011,90.0892
01-06-2011,102.9264
01-07-2011,114.9321
01-08-2011,113.7652
01-09-2011,99.5831
01-10-2011,90.3256
01-11-2011,93.7509
01-12-2011,107.3344
01-01-2012,111.8394
01-02-2012,103.3476
01-03-2012,93.4091
01-04-2012,87.4575
01-05-2012,92.7737
01-06-2012,101.2472
01-07-2012,113.388
01-08-2012,110.1665
01-09-2012,96.899
01-10-2012,90.2566
01-11-2012,94.2046
01-12-2012,105.0109
01-01-2013,115.2199
01-02-2013,106.4386
01-03-2013,102.6576
01-04-2013,90.6033
01-05-2013,90.6912
01-06-2013,100.656
01-07-2013,110.3545
01-08-2013,108.4241
01-09-2013,99.3492
01-10-2013,91.6786
01-11-2013,97.0034
01-12-2013,113.3755
01-01-2014,124.0595
01-02-2014,112.7167
01-03-2014,104.4508
01-04-2014,89.8286
01-05-2014,91.8836
01-06-2014,101.6595
01-07-2014,108.6414
01-08-2014,108.3853
01-09-2014,100.4068
01-10-2014,92.106
01-11-2014,99.0559
01-12-2014,108.9004
01-01-2015,119.826
01-02-2015,116.0253
01-03-2015,103.9265
